ID;name;howToCollect;recyclingRestrictions;recyclingInstructions;
9c7cbcb7-9daf-4b4b-9279-feea78fa5cbe;ABS;ABS is mainly found in the housings of household appliances, tubes and computer cases. For this reason the "collection" cannot be done separately from the basic product (WEEE-electronic waste). \n ABS is also a thermoplastic material, very hard and shiny, obtained by casting in a mold - a well-known example is LEGO toys. [1] In this particular case, if it is not possible to donate them to kindergartens, children's centers or other charities, they will preferably be collected separately from other waste, in a bag / bag and taken to collection centers that accept this type of waste; videotapes \n CDs and DVDs, including cases;
32f82acd-bcac-4a49-a8dd-3f957484e6da;Tires;You can recycle old tires at the manufacturer, car service, vulcanization, any unit authorized to sell tires. All commercial operators operating in the tire market are obliged to receive used tires, whether or not they were purchased from They. [1] Tires are not wanted in landfills due to the large volume they take up space but if they are chopped they can be used as a building material for exhaust systems, for collection systems or as gaskets .;
3ccdc029-3082-4c1f-b8e4-509422ab790a;Other metal components, automotive plastics ;;;
76646949-745a-4c58-a4cc-5b5f75bb328c;Car batteries; According to GD no. 1132/2008 on the regime of batteries and accumulators and waste batteries and accumulators, the users of car batteries and accumulators have the obligation to hand over this waste to the distributors of car batteries and accumulators, to service workshops no matter where they were purchased, to producers or at a collection center for waste batteries and accumulators. They are obliged to accept this type of waste without forcing the user to pay or buy a new battery. Batteries and accumulators with damaged or electrolyte leakage must be collected separately in special containers. Be sure to mention this when teaching them. Car and industrial batteries are considered hazardous waste and should not be disposed of. Directive 2006/66 / EC on the regime of batteries and accumulators and waste batteries and accumulators mentions the benefits of recycling such waste: take the lead from the plastic wrap. The water transformed from the acid is cleaned, treated and tested to meet the standards and then sent to the public sewer system. The lead is cleaned and melted for reuse. The plastic is sorted by lead and heavy metals and sent to other battery enclosures. Also, plastic resulting from the separation of materials can be sold to manufacturers of plastic objects as a raw material. By 2016, Directive 2006/66 / EC set a 45% recycling target as the minimum collection rate at European level for batteries and accumulators. portable. However, a minimum collection target has not been set for car and industrial batteries and accumulators. Following evaluations at European level, these targets are not sufficient to ensure an optimal level of battery waste collection.
eaeccc55-3c68-4e77-8dbf-673bbb73fe93;Asbestos;;;
a74349b2-58a3-477a-81cc-d74a37b39d85;Other aluminum objects (eg "pill" candles);;;
e8809f7d-4a3e-4b30-8e07-45c9f3bc260b;Brass; Brass is most often found in domestic and industrial sanitary installations. There are several types of alloys, but the most common are yellow and red brass. Brass is also found in objects such as keys, door handles or lighting fixtures. Brass is a heavy material. [1] Clean material is collected for recycling without other contaminants such as plastic, aluminum, paint, wood, oil or steel. [2] Brass is a precious and useful metal and can be recycled to be transformed into other objects.
3f66057f-2aa9-4445-8c1f-023a6959ee21;Other plastics ;;;
2746c3f3-36ba-43e2-ae9f-fbd030da5174;Other textiles (eg bed linen);Before handing over the items to the collector for recycling, it will be considered whether they can be reconditioned, painted, recycled creatively, so as to obtain beautiful "new" products at no cost. % of textile waste can be reused, recycled or recycled [1], the number of organizations collecting textile waste is very small and most of this waste is taken to cement factories for incineration. Clothing and other textile products (eg linen bed) must be collected separately from other recyclable waste, put in clean bags, and previously washed. If they are portable, they can be donated to charities or sold as second-hand products & if they are considered reusable, they can be used as cleaning cloths. If they cannot be used for the purposes listed, but are recyclable textiles, they will be transformed into textile fibers and used in the manufacture of thermal or sound-insulating materials or upholstery for chairs and benches. Bed linen, pajamas, shirts can be cut into smaller pieces - cloths to be used for cleaning (dusting cloths, washing tiles, windows, etc.), tablecloths or handkerchiefs, reusable. Pillows, rugs and some blankets with textile recyclable, but may be donated to animal welfare organizations for use as animal bedding. Mattresses (alternative: natural fiber mattresses - wool, coconut [2]) \n Pillows goose and duck) \n Blankets, duvets (except: made of natural materials (cotton, wool) \n Carpets and rugs \n Synthetic fiber curtains and drapes \n Office chairs (textile) && recommended Repair them [3] \n Linen (except: cotton linen) \n Cotton wool \n Make-up remover discs \n Women's absorbents (alternative: reusable absorbents [4]) \n Diapers (exception: reusable textile diapers [5]) \n Dishwashing and shower sponges (alternative: loaf sponges and natural brushes [6]) \n Wet wipes (cloth composition - example: 70% cellulose, 30% bbc fibers) \n Mops containing synthetic fibers ( With regard to synthetic fibers, the options are limited, with few companies also recycling polyester textiles. For natural fibers, there are several possibilities for both cotton and wool. Carpets can be made of several natural and / or synthetic fibers. The natural fibers used in the manufacture of carpets can be of vegetable origin (cotton, sisal, jute, coconut), but also animal (wool, silk). The synthetic fibers used can be: polyamide (PA), polypropylene (PP), polyethylene (PE), polyethylene terephthalate (PET) or polyacrylitrile (PAN). [7]
1eb7f9ac-bda5-492f-9f39-27ce73818b28;Bulbs, neon lights, LEDs; A WEEE is recyclable if it meets at least one of the following requirements: \n Plugs in \n Uses batteries \n Requires charging \n Has a picture of a trash can (see below) Neon bulbs and tubes can be handed over to specialist collection centers or points (eg Recolamp). Recently, stores that sell such products are required to provide customers with the opportunity to hand over this type of WEEE for free. \n Even if they are made of glass, it is very important NOT to hand over light bulbs or fluorescent tubes together with glass waste, as they contain a different type of glass with metallic elements and may contain hazardous substances. \n Christmas lighting fixtures are also WEEE. For their delivery, it will be checked in advance if they are received at the collection center / point or the chosen collector.
